Height Pressure Rho
2.597263e+04 8.748668e+02 3.017059e-02
2.602706e+04 8.588829e+02 2.975928e-02
2.608124e+04 8.431909e+02 2.935366e-02
2.613516e+04 8.277857e+02 2.895365e-02
2.618883e+04 8.126619e+02 2.855916e-02
2.624224e+04 7.978145e+02 2.817013e-02
2.629540e+04 7.832383e+02 2.778647e-02
2.634831e+04 7.689284e+02 2.740811e-02
2.640097e+04 7.548799e+02 2.703497e-02
2.645339e+04 7.410882e+02 2.666699e-02
2.650555e+04 7.275484e+02 2.630408e-02
2.655747e+04 7.142559e+02 2.594618e-02
2.660915e+04 7.012064e+02 2.559322e-02
2.666057e+04 6.883952e+02 2.524512e-02
2.671176e+04 6.758181e+02 2.490183e-02
2.676270e+04 6.634708e+02 2.456327e-02
2.681340e+04 6.513491e+02 2.422937e-02
2.686386e+04 6.394488e+02 2.390008e-02
2.691409e+04 6.277660e+02 2.357533e-02
2.696407e+04 6.162966e+02 2.325504e-02
2.701381e+04 6.050368e+02 2.293917e-02
2.706332e+04 5.939827e+02 2.262765e-02
2.711260e+04 5.831305e+02 2.232042e-02
2.716164e+04 5.724766e+02 2.201742e-02
2.721044e+04 5.620174e+02 2.171858e-02
2.725901e+04 5.517492e+02 2.142386e-02
2.730736e+04 5.416687e+02 2.113319e-02
2.735547e+04 5.317723e+02 2.084652e-02
2.740335e+04 5.220568e+02 2.056379e-02
2.745100e+04 5.125187e+02 2.028495e-02
2.749843e+04 5.031549e+02 2.000994e-02
2.754563e+04 4.939622e+02 1.973871e-02
2.759260e+04 4.849374e+02 1.947120e-02
2.763935e+04 4.760775e+02 1.920738e-02
2.768587e+04 4.673795e+02 1.894717e-02
2.773217e+04 4.588404e+02 1.869054e-02
2.777825e+04 4.504573e+02 1.843743e-02
2.782411e+04 4.422274e+02 1.818779e-02
2.786975e+04 4.341478e+02 1.794159e-02
2.791517e+04 4.262159e+02 1.769876e-02
2.796037e+04 4.184289e+02 1.745926e-02
2.800536e+04 4.107841e+02 1.722304e-02
2.805013e+04 4.032790e+02 1.699007e-02
2.809468e+04 3.959110e+02 1.676029e-02
